gyrX	gyrY	gyrZ	time	state
0.1841846	-0.15969762	0.119240895	1567953800759	none
0.04897394	0.06600835	-0.067073	1567953800862	none
-0.09688323	0.03726278	-0.059620447	1567953800965	none
-0.009581857	0.0021293017	-0.036198128	1567953801070	none
0.15224507	0.04897394	0.011711159	1567953801174	none
0.08304276	-0.021293016	-0.03939208	1567953801281	none
-0.055361845	0.023422318	-0.055361845	1567953801387	none
0.0042586033	0.0606851	0.056426495	1567953801493	none
-0.10220648	0.120305546	0.103271134	1567953801599	none
-0.009581857	0.13521066	0.018099064	1567953801705	none
-0.022357667	0.1298874	0.069202304	1567953801812	none
-0.045779984	0.10007718	0.03939208	1567953801918	none
0.01277581	0.09581858	-0.022357667	1567953802024	none
-0.042586032	0.09368927	-0.027680922	1567953802130	none
-0.085172065	0.105400436	-0.02448697	1567953802237	none
-0.007452556	0.045779984	-0.028745573	1567953802341	none
-0.010646508	-0.034068827	-0.021293016	1567953802447	none
-0.044715334	-0.02448697	-0.07452556	1567953802554	none
0.014905112	0.023422318	-0.023422318	1567953802660	none
0.0010646508	0.033004176	-0.01277581	1567953802767	none
0.007452556	0.010646508	0.029810224	1567953802873	none
-0.030874874	-0.014905112	-0.035133477	1567953802980	none
0.026616272	-0.006387905	0.013840461	1567953803085	none
0.058555797	0.0042586033	-0.0031939526	1567953803191	none
0.013840461	0.09262462	-0.0606851	1567953803297	none
-0.0010646508	0.029810224	0.054297194	1567953803404	none
-0.0031939526	-0.010646508	0.0042586033	1567953803510	none
0.014905112	-0.04152138	-0.09688323	1567953803616	none
0.02555162	0.006387905	-0.010646508	1567953803723	none
0.014905112	0.011711159	0.052167892	1567953803829	none
0.044715334	0.014905112	0.029810224	1567953803936	none
-0.044715334	-0.01277581	-0.02448697	1567953804042	none
-0.021293016	-0.13308136	0.008517207	1567953804150	none
-0.010646508	-0.09262462	-0.046844635	1567953804256	none
0.019163715	-0.10859439	-0.071331605	1567953804362	none
0.009581857	-0.046844635	-0.055361845	1567953804469	none
0.21293017	-0.030874874	-0.02448697	1567953804575	none
0.23209389	-0.36623988	-0.22038272	1567953804681	none
0.015969763	0.20867157	0.1213702	1567953804788	none
-0.17673203	0.15650368	0.14479251	1567953804895	none
-0.09475392	0.04897394	-0.005323254	1567953805001	none
-0.10114183	0.019163715	0.05003859	1567953805108	none
-0.0042586033	-0.031939525	0.05110324	1567953805214	none
0.014905112	-0.1969604	0.043650683	1567953805319	none
0.027680922	-0.17886133	-0.053232543	1567953805426	none
0.036198128	-0.07452556	0.008517207	1567953805533	none
0.05003859	-0.045779984	0.010646508	1567953805639	none
0.031939525	0.014905112	0.017034413	1567953805745	none
0.021293016	-0.009581857	-0.008517207	1567953805852	none
0.015969763	0.013840461	-0.0649437	1567953805958	none
-0.021293016	-0.070266955	-0.019163715	1567953806064	none
-0.009581857	0.010646508	0.0042586033	1567953806171	none
-0.010646508	-0.020228365	-0.017034413	1567953806277	none
-0.018099064	0.057491146	0.021293016	1567953806383	none
-0.04045673	0.019163715	0.046844635	1567953806487	none
-0.035133477	0.03832743	0.008517207	1567953806592	none
0.022357667	0.02448697	0.034068827	1567953806697	none
0.006387905	0.028745573	0.014905112	1567953806803	none
-0.036198128	-0.015969763	-0.021293016	1567953806909	none
0.014905112	-0.026616272	-0.010646508	1567953807016	none
0.005323254	-0.0042586033	-0.017034413	1567953807122	none
-0.01277581	0.022357667	-0.010646508	1567953807228	none
-0.0010646508	0.008517207	-0.0031939526	1567953807334	none
-0.011711159	0.021293016	0.01277581	1567953807440	none
-0.013840461	0.0021293017	0.0042586033	1567953807547	none
0.028745573	0.009581857	0.044715334	1567953807653	none
-0.179926	0.11498229	0.17353809	1567953807759	DEPARTING
0.055361845	0.008517207	-0.0042586033	1567953807864	none
0.04897394	0.04790929	-0.018099064	1567953807970	none
0.034068827	0.026616272	0.10220648	1567953808076	none
0.0010646508	0.04152138	0.13840461	1567953808180	none
-0.031939525	0.05003859	0.052167892	1567953808284	none
-0.029810224	-0.03832743	-0.07559021	1567953808388	none
0.03939208	-0.07452556	0.07346091	1567953808493	none
0.026616272	-0.011711159	-0.03726278	1567953808599	none
0.01277581	-0.017034413	-0.031939525	1567953808708	none
0.033004176	0.04045673	-0.044715334	1567953808818	none
0.009581857	0.03726278	-0.053232543	1567953808933	none
-0.019163715	0.04790929	-0.029810224	1567953809050	none
0.02555162	0.014905112	-0.02448697	1567953809165	none
0.028745573	0.0010646508	-0.04897394	1567953809281	none
0.023422318	0.031939525	-0.022357667	1567953809397	none
0.0	-0.007452556	-0.0606851	1567953809513	none
0.0042586033	-0.017034413	-0.10859439	1567953809630	none
0.03726278	0.02555162	-0.03939208	1567953809746	none
-0.0042586033	-0.0031939526	-0.10114183	1567953809862	none
-0.015969763	-0.030874874	-0.044715334	1567953809978	none
-0.0031939526	-0.011711159	-0.08836602	1567953810094	none
0.06813765	0.05110324	-0.16289158	1567953810209	none
0.05003859	0.12669346	-0.10114183	1567953810325	none
-0.14798647	-0.057491146	-0.069202304	1567953810441	none
-0.023422318	-0.5908812	-0.1927018	1567953810559	none
-0.05003859	0.018099064	0.072396256	1567953810675	none
0.0	-0.009581857	-0.031939525	1567953810789	none
-0.053232543	0.008517207	-0.06174975	1567953810905	none
-0.03939208	0.034068827	-0.010646508	1567953811022	none
-0.009581857	0.15863298	0.006387905	1567953811138	none
-0.07665486	-0.015969763	-0.067073	1567953811255	none
-0.019163715	0.008517207	0.0649437	1567953811372	none
0.0606851	0.030874874	0.072396256	1567953811489	none
0.031939525	-0.042586032	0.09688323	1567953811605	none
0.06600835	-0.027680922	0.069202304	1567953811721	none
0.0042586033	-0.018099064	-0.023422318	1567953811838	none
0.008517207	0.0042586033	0.0606851	1567953811955	none
0.026616272	0.085172065	0.018099064	1567953812069	none
0.018099064	0.055361845	0.006387905	1567953812186	none
0.006387905	0.08197811	0.04045673	1567953812304	none
-0.019163715	0.021293016	0.020228365	1567953812419	none
-0.013840461	-0.023422318	-0.008517207	1567953812566	none
-0.02555162	-0.006387905	0.006387905	1567953812682	none
0.0021293017	0.034068827	0.021293016	1567953812797	none
0.005323254	0.03939208	0.0	1567953812913	none
-0.02448697	0.0021293017	-0.027680922	1567953813030	none
0.015969763	0.055361845	0.0021293017	1567953813147	none
-0.013840461	-0.034068827	-0.020228365	1567953813262	none
0.034068827	0.010646508	0.02555162	1567953813379	none
0.030874874	-0.010646508	0.033004176	1567953813494	none
-0.008517207	-0.084107414	-0.03726278	1567953813618	none
0.028745573	-0.053232543	-0.1905725	1567953813734	none
0.0649437	-0.044715334	0.056426495	1567953813846	none
-0.028745573	0.006387905	-0.014905112	1567953813962	none
-0.019163715	0.044715334	0.033004176	1567953814078	none
0.033004176	0.023422318	-0.021293016	1567953814195	none
0.067073	0.104335785	0.21931808	1567953814310	none
0.011711159	-0.029810224	0.03939208	1567953814426	none
-0.02448697	-0.07984881	-0.1969604	1567953814536	none
-0.03832743	0.054297194	0.09155997	1567953814646	none
-0.12882276	0.13840461	0.20867157	1567953814755	none
-0.01277581	0.22144738	0.20441297	1567953814864	none
0.035133477	0.07984881	0.05003859	1567953814974	none
-0.06600835	0.0649437	-0.018099064	1567953815090	none
