compassX	compassY	compassZ	time	state
12.84	-26.699999	-38.64	1567953791023	none
12.84	-26.699999	-38.64	1567953791128	none
-13.92	-38.82	-21.539999	1567953791233	none
-11.639999	-36.12	-23.46	1567953791338	none
-10.139999	-34.8	-24.06	1567953791446	none
-10.38	-35.399998	-22.8	1567953791557	none
-9.9	-33.66	-23.34	1567953791679	none
-10.2	-33.66	-24.18	1567953791791	none
-10.559999	-33.6	-24.3	1567953791902	none
-5.04	-35.579998	-23.1	1567953792012	none
-0.84	-36.96	-22.14	1567953792123	none
0.06	-37.5	-21.359999	1567953792230	none
1.8	-39.0	-20.939999	1567953792336	none
4.2599998	-41.46	-18.9	1567953792451	none
3.4199998	-44.399998	-15.96	1567953792566	none
8.4	-45.539997	-16.32	1567953792672	none
12.66	-46.2	-15.839999	1567953792782	none
19.439999	-46.44	-14.94	1567953792895	none
20.88	-47.1	-12.84	1567953793010	none
23.82	-46.62	-13.98	1567953793124	none
24.539999	-45.96	-15.54	1567953793233	none
26.4	-43.379997	-18.6	1567953793340	none
27.48	-40.68	-21.18	1567953793448	none
28.439999	-39.54	-21.48	1567953793565	none
27.48	-41.28	-21.24	1567953793690	none
27.779999	-42.78	-21.539999	1567953793804	none
24.96	-43.98	-21.72	1567953793914	none
22.32	-46.2	-21.42	1567953794032	none
22.56	-48.719997	-21.539999	1567953794151	none
21.539999	-50.34	-20.46	1567953794271	none
24.539999	-49.2	-20.039999	1567953794380	none
28.38	-46.559998	-21.18	1567953794491	none
31.019999	-43.2	-22.859999	1567953794609	none
33.12	-40.14	-25.74	1567953794733	none
31.92	-39.059998	-26.34	1567953794845	none
32.1	-37.739998	-26.82	1567953794965	none
34.2	-36.3	-26.4	1567953795084	none
35.04	-36.78	-28.019999	1567953795201	none
36.0	-36.059998	-26.76	1567953795319	none
39.3	-32.579998	-28.08	1567953795446	none
41.579998	-23.82	-32.82	1567953795562	none
42.899998	-12.3	-37.14	1567953795673	none
46.2	-4.2599998	-38.399998	1567953795781	none
49.079998	1.8	-40.02	1567953795899	none
56.219997	6.42	-39.239998	1567953796019	none
