accX	accY	accZ	time	state
-0.36391866	1.2737153	8.925584	1567953800759	none
-0.20111294	1.1204864	9.557653	1567953800862	none
-0.21068975	1.1683705	9.461885	1567953800965	none
0.019153614	1.1971009	9.481039	1567953801070	none
-0.06703765	1.3311762	9.548077	1567953801174	none
-0.37349546	1.388637	9.308656	1567953801281	none
-0.5363012	1.3503298	9.500193	1567953801387	none
-0.5363012	1.3503298	9.184157	1567953801493	none
-0.4405331	1.3120226	9.155427	1567953801599	none
-0.45968673	1.3024458	9.299079	1567953801705	none
-0.33518824	1.484405	9.203311	1567953801812	none
-0.4213795	1.3215994	9.442732	1567953801918	none
-0.5267244	1.3503298	9.346964	1567953802024	none
-0.38307226	1.6950948	9.11712	1567953802130	none
-0.5554548	1.3790601	9.251195	1567953802237	none
-0.7086837	1.3982137	9.528923	1567953802341	none
-0.45968673	1.3503298	9.528923	1567953802447	none
-0.34476504	1.3120226	9.519346	1567953802554	none
-0.29688102	1.292869	9.3182335	1567953802660	none
-0.4405331	1.3024458	9.461885	1567953802767	none
-0.37349546	1.3790601	9.270349	1567953802873	none
-0.17238252	1.4460979	9.509769	1567953802980	none
-0.33518824	1.2737153	9.461885	1567953803085	none
-0.095768064	1.3120226	9.461885	1567953803191	none
-0.45968673	1.5514427	9.011775	1567953803297	none
-0.4405331	1.4077905	9.3661175	1567953803404	none
-0.16280572	1.4939818	9.3661175	1567953803510	none
-0.2873042	1.4748282	9.203311	1567953803616	none
-0.63206923	1.4652514	9.11712	1567953803723	none
-0.5746084	1.1971009	9.423578	1567953803829	none
-0.20111294	1.6663644	9.078813	1567953803936	none
-0.5363012	1.4077905	9.260772	1567953804042	none
-0.19153613	1.3503298	9.662998	1567953804150	none
-0.21068975	1.4652514	9.452309	1567953804256	none
-0.29688102	1.1779473	9.873688	1567953804362	none
-0.18195933	1.4077905	9.471462	1567953804469	none
0.02873042	1.6759412	9.289502	1567953804575	none
-0.02873042	1.3694834	10.323798	1567953804681	none
-0.31603462	1.8866309	8.695741	1567953804788	none
-0.019153614	2.2505496	8.734048	1567953804895	none
-0.61291564	1.1300632	9.557653	1567953805001	none
-0.5554548	1.484405	9.816227	1567953805108	none
-0.49799395	1.4939818	9.3661175	1567953805214	none
-0.5267244	1.484405	9.385271	1567953805319	none
-0.2681506	1.3024458	9.452309	1567953805426	none
-0.25857377	1.532289	9.069236	1567953805533	none
-0.4309563	1.4269443	9.078813	1567953805639	none
-0.37349546	1.3694834	9.346964	1567953805745	none
-0.2681506	1.436521	9.481039	1567953805852	none
-0.30645782	1.3982137	9.337387	1567953805958	none
-0.16280572	1.4652514	9.385271	1567953806064	none
-0.095768064	1.5514427	9.203311	1567953806171	none
-0.22984336	1.4939818	9.337387	1567953806277	none
0.0	1.5897499	9.461885	1567953806383	none
-0.05746084	1.5897499	9.241618	1567953806487	none
-0.2873042	1.3599066	9.3182335	1567953806592	none
-0.32561144	1.3599066	9.423578	1567953806697	none
-0.1436521	1.5610195	9.289502	1567953806803	none
-0.24899697	1.4269443	9.624691	1567953806909	none
-0.20111294	1.3982137	9.701305	1567953807016	none
-0.095768064	1.5801731	9.241618	1567953807122	none
-0.12449849	1.5227122	9.260772	1567953807228	none
