gyrX	gyrY	gyrZ	time	state
0.57784677	-0.08854308	0.038858972	1567953791023	none
0.57784677	-0.08854308	0.038858972	1567953791128	none
-0.3036318	0.07822313	-0.29284084	1567953791233	none
-0.039738007	0.015914872	-0.41440305	1567953791338	none
0.13924551	-0.020737043	-0.09125532	1567953791446	none
0.38481337	0.38915354	0.4566908	1567953791557	none
-0.3250121	-1.0207235	-0.8438413	1567953791679	none
-0.004918687	-0.3762606	-0.33682317	1567953791791	none
0.23576222	-0.4416232	-1.642853	1567953791902	none
0.42757392	0.07028188	-1.2036409	1567953792012	none
0.15451713	-0.3640433	-0.6245407	1567953792123	none
0.4013067	-0.19849883	-0.32643846	1567953792230	none
0.119697824	-0.26508313	-0.5304674	1567953792336	none
0.39275458	0.051345054	0.42370406	1567953792451	none
0.25103384	-0.3206719	-0.49686983	1567953792566	none
-0.058674827	-0.13741231	-0.9544079	1567953792672	none
0.116643496	-0.25469843	-0.872552	1567953792782	none
0.16551271	-0.087321356	-0.4608288	1567953792895	none
0.29684874	-0.45445135	-0.2305326	1567953793010	none
-0.021412048	0.048901595	-0.33743402	1567953793124	none
-0.15091549	-0.60228074	-0.8047459	1567953793233	none
-0.17412835	-0.533253	-0.9293624	1567953793340	none
0.094652355	-0.09953866	-0.4223443	1567953793448	none
-0.04279233	-0.17956202	-0.24091731	1567953793565	none
0.045172263	-0.077547505	0.40293467	1567953793690	none
-0.22666277	-0.019515311	0.40721074	1567953793804	none
-0.14480682	0.67870367	0.6430047	1567953793914	none
-0.13442212	0.03790602	-0.027114475	1567953794032	none
0.4294065	-0.32861313	0.34062642	1567953794151	none
0.113589175	-0.69574314	-0.59949523	1567953794271	none
-0.21994326	0.31157362	-0.6807403	1567953794380	none
-0.27003422	-0.12763846	-0.9140908	1567953794491	none
-0.1521372	-0.7727122	-0.6813511	1567953794609	none
0.08793283	-0.29745898	-0.53168917	1567953794733	none
0.2131602	-0.265694	-0.07292937	1567953794845	none
0.30784434	0.717799	-0.34598616	1567953794965	none
0.21071675	0.120372824	-0.15417445	1567953795084	none
-0.30057746	-0.4746099	-0.27023882	1567953795201	none
0.7250653	-0.501488	-0.70212054	1567953795319	none
0.101982735	-0.89305264	-1.5151823	1567953795446	none
-0.5229324	-0.39092138	-1.7595283	1567953795562	none
-0.56202775	-0.40008435	-1.5267887	1567953795673	none
0.16184752	0.045236405	-0.24274991	1567953795781	none
-0.09715934	0.328067	-0.12546378	1567953795899	none
0.3341115	0.27858692	0.8122144	1567953796019	none
0.22965357	1.8607279	2.3082235	1567953796137	none
0.08304591	0.5656936	2.6619143	1567953796256	none
-0.7184093	0.48689196	1.9930168	1567953796374	none
-0.5785212	0.97008634	1.1506337	1567953796491	none
-0.6976399	-0.16429037	0.054130603	1567953796611	none
-0.71107894	-0.054945495	0.6423939	1567953796736	none
-0.37815735	0.445964	1.0186868	1567953796854	none
-0.3720487	0.4789507	1.1781226	1567953796972	none
0.39397633	0.13442273	1.471338	1567953797081	none
-0.035461947	0.3708276	0.9087311	1567953797191	none
0.45323026	0.47833988	0.62956566	1567953797301	none
0.76782584	0.59318256	0.7462409	1567953797422	none
0.05189178	0.39648393	1.1488011	1567953797537	none
0.50454295	-0.54974633	0.4127085	1567953797655	none
0.61388785	0.7257403	0.50433826	1567953797767	none
0.6749743	-0.023791369	0.013813496	1567953797886	none
-1.0812633	1.5162	0.38460872	1567953798008	none
-0.81431514	-0.096484326	3.6490724	1567953798127	none
-0.10876578	1.6854095	1.4493468	1567953798245	none
-0.060507424	0.24560021	0.6546112	1567953798354	none
0.3536592	0.31646058	0.86352706	1567953798470	none
-1.4031892	0.48750284	1.8152552	1567953798587	none
-0.51254773	-1.3548667	-0.5518477	1567953798706	none
0.4764431	-0.17345336	-2.3270223	1567953798824	none
1.8001881	-1.9693972	-2.2750986	1567953798947	none
0.2925727	0.45695958	-1.2964925	1567953799065	none
0.13924551	0.41847506	-0.29284084	1567953799182	none
0.26019683	-0.045782518	0.6766023	1567953799300	none
-0.5180455	-0.06960626	-0.42112255	1567953799419	none
-0.2822515	0.71107954	-0.7326638	1567953799537	none
0.50759727	0.61761713	-0.020394959	1567953799657	none
0.155128	0.40625775	0.10422155	1567953799776	none
0.07571552	0.35433424	-0.025892746	1567953799894	none
0.16795617	0.47039863	0.1561451	1567953800012	none
-0.038516276	0.16679858	0.72180635	1567953800128	none
